n_orders_in_system,n_express_orders_pct,avg_due_date_tightness,fraction_already_late,zone_utilization_avg,zone_utilization_std,bottleneck_zone,avg_remaining_proc_time,std_remaining_proc_time,throughput_last_30min,breakdown_flag,n_broken_stations,lunch_break_flag,surge_multiplier,batch_pending_flag,avg_priority_weight,max_tardiness_so_far,sla_breach_rate_current,disruption_intensity,queue_imbalance,job_mix_entropy,time_pressure_ratio,pct_type_A,pct_type_B,pct_type_C,pct_type_D,pct_type_E,count_type_A,count_type_B,count_type_C,count_type_D,count_type_E,label
15.0,0.0,466.3482971191406,0.0,0.29580846428871155,0.4224904775619507,1.0,33.81960678100586,2.154067277908325,0.0,1.0,1.0,0.0,0.6499999761581421,0.0,1.0,0.0,0.0,0.1875,2.6457512378692627,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2
25.0,0.0,459.72760009765625,0.0,0.3481248617172241,0.3745262622833252,1.0,31.359607696533203,4.2537312507629395,0.0,1.0,1.0,0.0,0.75,0.0,1.0,0.0,0.0,0.16249999403953552,1.7320507764816284,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,4
43.0,0.0,459.0024719238281,0.0,0.3955518305301666,0.371001660823822,1.0,31.938426971435547,5.201918125152588,0.0,0.0,0.0,0.0,0.8500000238418579,0.0,1.0,0.0,0.0,0.03750000149011612,2.0615527629852295,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,4
59.0,0.0,448.8560791015625,0.0,0.4198708236217499,0.35911229252815247,1.0,31.68408966064453,6.222408294677734,0.0,0.0,0.0,0.0,0.949999988079071,0.0,1.0111111402511597,0.0,0.0,0.012500000186264515,2.017087459564209,0.15374217927455902,0.0,0.0,0.02222222276031971,0.9777777791023254,0.0,0.0,0.0,1.0,44.0,0.0,0.0,4
68.0,0.0,450.75140380859375,0.0,0.45956185460090637,0.3741234838962555,1.0,32.256160736083984,6.151598930358887,0.0,0.0,0.0,0.0,0.9750000238418579,0.0,0.9958333373069763,0.0,0.0,0.0062500000931322575,2.0017354488372803,0.14609424769878387,0.0,0.0,0.0,0.9791666865348816,0.02083333395421505,0.0,0.0,0.0,47.0,1.0,0.0,4
80.0,0.0,443.6330261230469,0.0,0.4532028138637543,0.36331120133399963,1.0,32.638492584228516,5.615347862243652,0.0,0.0,0.0,0.0,1.0,0.0,0.9969230890274048,0.0,0.0,0.0,1.9170366525650024,0.11467550694942474,0.0,0.0,0.0,0.9846153855323792,0.015384615398943424,0.0,0.0,0.0,64.0,1.0,0.0,4
93.0,0.0,440.66900634765625,0.0,0.4594508111476898,0.3662368059158325,1.0,33.315181732177734,5.153650283813477,0.0,0.0,0.0,0.0,1.024999976158142,0.0,0.9950617551803589,0.0,0.0,0.0062500000931322575,2.020735263824463,0.1670268028974533,0.0,0.0,0.0,0.9753086566925049,0.02469135820865631,0.0,0.0,0.0,79.0,2.0,0.0,4
105.0,0.0,436.068115234375,0.0,0.47447115182876587,0.3712009787559509,1.0,33.46324920654297,4.308790683746338,0.0,0.0,0.0,0.0,1.0499999523162842,0.0,0.995555579662323,0.0,0.0,0.012500000186264515,2.0821404457092285,0.15374217927455902,0.0,0.0,0.0,0.9777777791023254,0.02222222276031971,0.0,0.0,0.0,88.0,2.0,0.0,4
128.0,0.0,434.3408508300781,0.0,0.48009592294692993,0.3712666928768158,1.0,33.65902328491211,4.1838908195495605,0.0,0.0,0.0,0.0,1.0750000476837158,0.0,0.9962962865829468,0.0,0.0,0.01875000074505806,2.1858129501342773,0.133039653301239,0.0,0.0,0.0,0.9814814925193787,0.018518518656492233,0.0,0.0,0.0,106.0,2.0,0.0,4
151.0,0.0,429.74951171875,0.0,0.49043387174606323,0.37408220767974854,1.0,33.23942947387695,4.80006742477417,0.0,0.0,0.0,0.0,1.100000023841858,0.0,0.9970370531082153,0.0,0.0,0.02500000037252903,2.1683216094970703,0.11124105006456375,0.0,0.0,0.0,0.9851852059364319,0.014814814552664757,0.0,0.0,0.0,133.0,2.0,0.0,4
154.0,0.0,423.167724609375,0.0,0.4958541989326477,0.37766072154045105,1.0,33.442726135253906,4.396498680114746,0.0,0.0,0.0,0.0,1.125,0.0,0.9957447052001953,0.0,0.0,0.03125,2.1904563903808594,0.14854949712753296,0.0,0.0,0.0,0.978723406791687,0.021276595070958138,0.0,0.0,0.0,138.0,3.0,0.0,4
166.0,0.0,417.7374267578125,0.0,0.4976230263710022,0.3774919807910919,1.0,33.46731948852539,4.096852779388428,0.0,0.0,0.0,0.0,1.149999976158142,0.0,0.9960265159606934,0.0,0.0,0.03750000149011612,2.2379696369171143,0.1406962275505066,0.0,0.0,0.0,0.9801324605941772,0.01986755058169365,0.0,0.0,0.0,148.0,3.0,0.0,4
