method,n,makespan_mean,makespan_std,tardiness_mean,tardiness_std,tardiness_median,tardiness_p75,tardiness_p95,tardiness_p99,tardiness_max,tardiness_iqr,tardiness_ci95_lo,tardiness_ci95_hi,sla_mean,sla_p95,cycle_mean,cycle_p95,throughput_mean,elapsed_mean
atc,20,599.45,0.61,9778.94,3494.32,8829.59,11987.99,16293.37,18054.53,18494.82,4638.35,8375.71,11341.23,0.2417,0.2771,79.79,93.47,50.89,1.6015
best_fixed_oracle,20,599.37,0.61,7257.76,2275.42,6738.96,8516.44,12191.59,12257.51,12273.99,2947.7,6310.74,8263.15,0.1482,0.2574,57.63,77.57,51.12,0.0
critical_ratio,20,598.77,1.3,30523.66,1812.32,30361.11,31784.14,33390.67,34290.91,34515.97,2325.51,29719.66,31324.89,0.5276,0.5963,144.02,157.36,45.73,0.9056
dahs_hybrid_rf,20,599.46,0.52,13451.11,2112.44,13577.34,14395.24,17190.77,17634.56,17745.51,2488.23,12515.19,14405.07,0.3549,0.4012,91.77,99.77,49.88,231.1136
dahs_hybrid_xgb,20,599.36,0.58,13491.88,2280.46,13473.64,14048.4,17762.82,18026.06,18091.87,2141.38,12493.98,14512.04,0.3541,0.4012,92.02,102.27,49.84,236.342
dahs_oracle,20,599.54,0.42,14037.25,1974.12,13749.4,15705.98,17171.06,17315.29,17351.35,2909.44,13195.81,14895.56,0.3602,0.4009,93.35,101.62,49.98,234.4438
dahs_rf,20,599.45,0.49,14050.45,3815.79,13718.83,16037.61,21884.86,23029.51,23315.67,4518.14,12461.79,15863.71,0.3567,0.4765,93.67,117.62,49.98,68.6038
dahs_xgb,20,599.32,0.5,24757.72,4718.38,26678.58,28120.96,30067.57,30394.94,30476.78,6181.66,22654.41,26715.33,0.4697,0.5468,123.91,143.98,49.59,70.488
fifo,20,599.25,0.89,29386.84,1541.69,29953.98,30398.78,31560.31,31710.97,31748.63,2480.86,28677.12,30049.37,0.4701,0.5279,151.81,162.63,44.84,0.4532
hybrid_priority,20,599.03,1.01,5202.28,1139.61,5505.45,5974.33,6523.95,6681.81,6721.28,1227.38,4646.23,5688.24,0.1062,0.1661,67.94,73.8,48.97,16.4856
priority_edd,20,599.26,0.53,15896.46,3434.72,16616.91,17438.73,20505.27,21887.89,22233.55,2752.11,14436.05,17359.73,0.331,0.3932,90.53,102.54,48.86,0.6334
slack,20,599.05,1.05,30962.75,2019.68,31195.47,32035.38,33393.09,34906.14,35284.4,1731.96,29975.44,31800.36,0.5076,0.5477,146.34,154.39,44.48,0.8118
wspt,20,599.21,0.67,8116.32,2445.88,8179.93,9868.09,12227.35,12836.84,12989.22,4240.1,7052.93,9250.28,0.1078,0.1377,50.92,60.21,51.86,1.0956
